               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,           0.0079221,           0.0062456,            0.045861,             0.57653,             0.58687,              0.6257,             0.59151,            0.003111,            0.001778,             0.01411,            0.004225,            0.004225,            0.004225
                  37,           0.0078764,           0.0061489,            0.045734,             0.58166,             0.59418,             0.63096,             0.59902,           0.0034661,           0.0018456,            0.013845,             0.00406,             0.00406,             0.00406
                  38,           0.0076948,           0.0062378,            0.045614,             0.65402,             0.56746,             0.62913,             0.59767,           0.0029602,            0.001876,             0.01383,            0.003895,            0.003895,            0.003895
                  39,           0.0078881,           0.0061563,            0.045103,             0.60491,             0.60155,             0.64318,             0.60705,           0.0033738,           0.0018262,            0.013527,             0.00373,             0.00373,             0.00373
                  40,           0.0075686,           0.0061342,            0.044254,             0.64855,             0.57033,             0.64226,             0.61559,           0.0031878,            0.001917,            0.013551,            0.003565,            0.003565,            0.003565
                  41,           0.0074262,           0.0059472,            0.043336,             0.60859,             0.59696,              0.6417,             0.60231,           0.0030933,           0.0018646,            0.013462,              0.0034,              0.0034,              0.0034
                  42,           0.0074925,           0.0061322,            0.044147,             0.64079,             0.59252,             0.65452,             0.61884,           0.0030731,           0.0017738,            0.013107,            0.003235,            0.003235,            0.003235
                  43,           0.0071944,           0.0059981,            0.043288,             0.61382,             0.61976,             0.66071,             0.63826,           0.0031443,           0.0018344,            0.012909,             0.00307,             0.00307,             0.00307
                  44,            0.007097,           0.0059762,             0.04268,             0.66328,             0.59189,             0.66575,             0.63127,           0.0029907,           0.0018716,            0.012751,            0.002905,            0.002905,            0.002905
                  45,           0.0070539,           0.0060242,            0.041965,             0.61375,             0.61954,             0.66766,             0.63169,           0.0028174,           0.0019383,            0.012814,             0.00274,             0.00274,             0.00274
                  46,           0.0070967,           0.0060043,             0.04249,             0.62306,             0.63268,             0.67044,             0.62418,           0.0030218,           0.0017961,             0.01251,            0.002575,            0.002575,            0.002575
                  47,            0.006781,           0.0059627,            0.042862,             0.63449,             0.63707,             0.68451,             0.65391,           0.0028707,           0.0018922,            0.012325,             0.00241,             0.00241,             0.00241
                  48,           0.0068668,           0.0058572,            0.041463,             0.63313,             0.63832,             0.68303,             0.66652,           0.0030633,           0.0017595,            0.012154,            0.002245,            0.002245,            0.002245
                  49,           0.0063085,           0.0057574,            0.041627,             0.64983,             0.65053,              0.6937,             0.66919,           0.0026751,           0.0019551,            0.011997,             0.00208,             0.00208,             0.00208
                  50,           0.0066152,           0.0057372,            0.041769,             0.67432,             0.61258,             0.69101,             0.64928,           0.0028473,           0.0018993,             0.01198,            0.001915,            0.001915,            0.001915
                  51,           0.0063391,           0.0057942,            0.041461,             0.64359,             0.64284,             0.69626,             0.65302,           0.0028706,           0.0020093,            0.011926,             0.00175,             0.00175,             0.00175
                  52,           0.0061533,           0.0057541,            0.040494,              0.6579,             0.63562,             0.69857,             0.66933,           0.0028425,            0.001981,            0.011742,            0.001585,            0.001585,            0.001585
                  53,           0.0060918,           0.0056429,             0.04083,             0.64844,             0.65585,             0.69379,             0.65642,           0.0026942,           0.0019572,            0.011672,             0.00142,             0.00142,             0.00142
                  54,           0.0059085,           0.0056153,            0.040688,             0.65315,             0.66676,             0.70632,              0.6675,           0.0027658,           0.0019007,            0.011418,            0.001255,            0.001255,            0.001255
                  55,           0.0056892,           0.0056418,            0.039478,             0.67294,             0.64782,              0.7069,             0.68054,           0.0026155,           0.0019614,            0.011426,             0.00109,             0.00109,             0.00109
                  56,            0.005463,           0.0055191,            0.040535,             0.68615,             0.64852,             0.71107,             0.68306,           0.0024911,            0.001937,            0.011327,            0.000925,            0.000925,            0.000925
                  57,           0.0051613,           0.0054495,            0.039056,             0.65534,             0.67029,              0.7135,              0.6884,           0.0025127,           0.0018852,            0.011118,             0.00076,             0.00076,             0.00076
                  58,           0.0050089,           0.0053065,            0.039885,             0.66832,             0.66188,             0.71661,             0.69248,           0.0024183,           0.0018819,            0.011149,            0.000595,            0.000595,            0.000595
                  59,           0.0048606,           0.0053502,            0.039674,             0.67138,             0.65847,              0.7156,             0.69129,           0.0024664,           0.0019387,            0.011076,             0.00043,             0.00043,             0.00043
