Epoch,Train Loss,Validation Loss,Validation Accuracy,Test Loss,Test Accuracy
1,4.488262556493282,4.335832424461842,0.07032825099304318,4.336051665246487,0.0830078125
2,4.210292344912887,4.112131237983704,0.12355090724304318,4.110955122858286,0.13623046875
3,3.974780710414052,3.899845752865076,0.1900359122082591,3.908730812370777,0.18896484375
4,3.751203306019306,3.697511952370405,0.24379410268738866,3.6920737996697426,0.23974609375
5,3.5484749879688025,3.4888226203620434,0.29166141618043184,3.4845378510653973,0.30712890625
6,3.336898172274232,3.2701732143759727,0.3561460431665182,3.2983507327735424,0.34375
7,3.1181422974914312,3.0804357528686523,0.3830172629095614,3.0939136669039726,0.40966796875
8,2.940379772335291,2.9019151479005814,0.4264585431665182,2.9181655906140804,0.43505859375
9,2.791348073631525,2.75260316580534,0.45824407739564776,2.7353463917970657,0.45263671875
10,2.6219985522329807,2.6032343357801437,0.48558782739564776,2.5989275835454464,0.47509765625
11,2.482580713927746,2.4701966997236013,0.5080330139026046,2.468660457059741,0.51806640625
12,2.3531898437067866,2.336265079677105,0.5436775451526046,2.353513788431883,0.53173828125
13,2.213017134927213,2.205067500472069,0.5696194553747773,2.2532103452831507,0.55029296875
14,2.1574458116665483,2.1210781894624233,0.5730216726660728,2.1444364599883556,0.57470703125
15,2.06110299564898,2.0476780142635107,0.5891664568334818,2.057578781619668,0.60009765625
16,1.9580729939043522,1.9910568501800299,0.5979240164160728,1.9732213709503412,0.60107421875
17,1.896190507337451,1.8753682635724545,0.6135490164160728,1.883675679564476,0.61767578125
18,1.8098620036616921,1.7927675135433674,0.6433341726660728,1.8389190584421158,0.63037109375
19,1.726256393827498,1.7477117143571377,0.6330802664160728,1.7787033095955849,0.62841796875
20,1.689413812942803,1.7200833167880774,0.6277406755834818,1.7271494381129742,0.63720703125
21,1.5993501674383879,1.653955865651369,0.6614478323608637,1.6389923710376024,0.654296875
22,1.5747424983419478,1.5783579777926207,0.6819713953882456,1.621786082163453,0.66650390625
23,1.5364380087703466,1.5187008446082473,0.6809475803747773,1.5420318823307753,0.67822265625
24,1.490552727598697,1.5309653971344233,0.6863501761108637,1.548853355459869,0.68017578125
25,1.4613746427930892,1.4527885681018233,0.7019279226660728,1.516609755344689,0.68798828125
26,1.405246697831899,1.4618646018207073,0.6877677664160728,1.4759845389053226,0.6845703125
27,1.3458943427540362,1.3644879925996065,0.71958480309695,1.4024802977219224,0.71337890625
28,1.3208927242085338,1.368319008499384,0.71567855309695,1.4197528949007392,0.69580078125
29,1.287461332976818,1.319355495274067,0.72642074059695,1.3594006095081568,0.71337890625
30,1.2749818470329046,1.3148747952654958,0.7303427420556545,1.3263234104961157,0.71337890625
